Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
The Straight Story,1999,"Biography, Drama",English,"$6,203,044",1999-11-03 00:00:00,8.0
Frankenweenie,2012,"Animation, Comedy, Drama",English,"$35,291,068",2012-10-05 00:00:00,6.9
Mars Needs Moms,2011,"Animation, Action, Adventure",English,"$21,392,758",2011-03-11 00:00:00,5.4
Bedtime Stories,2008,"Adventure, Comedy, Family",English,"$110,101,975",2008-12-25 00:00:00,6.0
Toy Story 4,2019,"Animation, Adventure, Comedy",English,"$434,038,008",2019-06-21 00:00:00,7.7
Around the World in 80 Days,2004,"Action, Adventure, Comedy","English, Cantonese, French, German, Hindi, Turkish","$24,008,137",2004-06-16 00:00:00,5.8
The Lion King,1994,"Animation, Adventure, Drama","English, Swahili, Xhosa, Zulu","$422,783,777",1994-06-24 00:00:00,8.5
Cool Runnings,1993,"Adventure, Comedy, Family","English, German, Russian","$68,856,263",1993-10-01 00:00:00,7.0
Pick of the Litter,2018,Documentary,English,"$578,717",2018-08-31 00:00:00,7.5
Wind,1992,"Action, Drama, Sport",English,"$5,519,569",1992-09-11 00:00:00,6.4
10 Things I Hate About You,1999,"Comedy, Drama, Romance","English, French","$38,178,166",1999-03-31 00:00:00,7.3
101 Dalmatians,1996,"Adventure, Comedy, Crime","English, Spanish","$136,189,294",1996-11-27 00:00:00,5.7
A Bug's Life,1998,"Animation, Adventure, Comedy",English,"$162,798,565",1998-11-25 00:00:00,7.2
A Goofy Movie,1995,"Animation, Adventure, Comedy",English,"$35,348,597",1995-04-07 00:00:00,6.9
Alice in Wonderland,2010,"Adventure, Family, Fantasy",English,"$334,191,110",2010-03-05 00:00:00,6.4
Aliens of the Deep,2005,"Documentary, Family",English,"$8,968,684",2005-08-25 00:00:00,6.3
America's Heart & Soul,2004,Documentary,English,"$314,402",2004-07-02 00:00:00,5.0
Annie,1982,"Comedy, Drama, Family",English,"$57,059,003",1982-06-18 00:00:00,6.6
Atlantis: The Lost Empire,2001,"Animation, Action, Adventure","English, French, Spanish","$84,056,472",2001-06-15 00:00:00,6.9
Babes in Toyland,1961,"Comedy, Family, Fantasy",English,"$10,218,316",1961-12-14 00:00:00,6.1
Bambi,1942,"Animation, Adventure, Drama",English,"$102,247,150",1942-08-21 00:00:00,7.3
Big Hero 6,2014,"Animation, Action, Adventure",English,"$222,527,828",2014-11-07 00:00:00,7.8
Blank Check,1994,"Comedy, Crime, Family",English,"$30,577,969",1994-02-11 00:00:00,5.2
Bolt,2008,"Animation, Adventure, Comedy",English,"$114,053,579",2008-11-21 00:00:00,6.8
Brother Bear,2003,"Animation, Adventure, Comedy","English, Inuktitut, Croatian, Serbian","$85,336,277",2003-11-01 00:00:00,6.8
Camp Nowhere,1994,"Adventure, Comedy, Family",English,"$10,475,705",1994-08-26 00:00:00,6.0
Cars,2006,"Animation, Adventure, Comedy","English, Italian, Japanese, Yiddish","$244,082,982",2006-06-09 00:00:00,7.2
Cars 3,2017,"Animation, Adventure, Comedy",English,"$152,901,115",2017-06-16 00:00:00,6.7
Cheetah,1989,"Adventure, Drama, Family",English,"$8,153,677",1989-08-18 00:00:00,5.9
College Road Trip,2008,"Adventure, Comedy, Drama",English,"$45,610,425",2008-03-07 00:00:00,4.3
Confessions of a Teenage Drama Queen,2004,"Comedy, Family, Music",English,"$29,331,068",2004-02-20 00:00:00,4.6
